"Activity" "Variable" "Subject" "Average"
"LAYING" "fBodyAcc-mean-X" "1" -0.321181159437299
"LAYING" "fBodyAcc-mean-X" "2" -0.234851270880333
"LAYING" "fBodyAcc-mean-X" "3" 0.0798539368325899
"LAYING" "fBodyAcc-mean-X" "4" -0.987632121969231
"LAYING" "fBodyAcc-mean-X" "5" -0.986232579039039
"LAYING" "fBodyAcc-mean-X" "6" -0.973140971939547
"LAYING" "fBodyAcc-mean-Y" "1" -0.0861176730745981
"LAYING" "fBodyAcc-mean-Y" "2" -0.2149545584358
"LAYING" "fBodyAcc-mean-Y" "3" 0.0437107247035971
"LAYING" "fBodyAcc-mean-Y" "4" -0.959535290615385
"LAYING" "fBodyAcc-mean-Y" "5" -0.933971010810811
"LAYING" "fBodyAcc-mean-Y" "6" -0.972958425516373
"LAYING" "fBodyAcc-mean-Z" "1" -0.325498911414791
"LAYING" "fBodyAcc-mean-Z" "2" -0.362563423266667
"LAYING" "fBodyAcc-mean-Z" "3" -0.249286505260072
"LAYING" "fBodyAcc-mean-Z" "4" -0.963922773876923
"LAYING" "fBodyAcc-mean-Z" "5" -0.953823944864865
"LAYING" "fBodyAcc-mean-Z" "6" -0.976469904055416
"LAYING" "fBodyAcc-std-X" "1" -0.347876081028939
"LAYING" "fBodyAcc-std-X" "2" -0.416507163797
"LAYING" "fBodyAcc-std-X" "3" -0.168272052983813
"LAYING" "fBodyAcc-std-X" "4" -0.986254243507692
"LAYING" "fBodyAcc-std-X" "5" -0.977741131351351
"LAYING" "fBodyAcc-std-X" "6" -0.984336683425693
"LAYING" "fBodyAcc-std-Y" "1" -0.137918913698392
"LAYING" "fBodyAcc-std-Y" "2" -0.0869359080704333
"LAYING" "fBodyAcc-std-Y" "3" -0.0623433678434532
"LAYING" "fBodyAcc-std-Y" "4" -0.950433748061538
"LAYING" "fBodyAcc-std-Y" "5" -0.917287828318318
"LAYING" "fBodyAcc-std-Y" "6" -0.969679181813602
"LAYING" "fBodyAcc-std-Z" "1" -0.27333901066881
"LAYING" "fBodyAcc-std-Z" "2" -0.0987676476104667
"LAYING" "fBodyAcc-std-Z" "3" -0.302934599147482
"LAYING" "fBodyAcc-std-Z" "4" -0.948684005046154
"LAYING" "fBodyAcc-std-Z" "5" -0.929696494864865
"LAYING" "fBodyAcc-std-Z" "6" -0.973160284282116
"LAYING" "fBodyAccJerk-mean-X" "1" -0.364985532345981
"LAYING" "fBodyAccJerk-mean-X" "2" -0.413928914496
"LAYING" "fBodyAccJerk-mean-X" "3" -0.193054054740647
"LAYING" "fBodyAccJerk-mean-X" "4" -0.987040078553846
"LAYING" "fBodyAccJerk-mean-X" "5" -0.979766632822823
"LAYING" "fBodyAccJerk-mean-X" "6" -0.986170362871536
"LAYING" "fBodyAccJerk-mean-Y" "1" -0.202727562471704
"LAYING" "fBodyAccJerk-mean-Y" "2" -0.453669946857667
"LAYING" "fBodyAccJerk-mean-Y" "3" -0.119988922472302
"LAYING" "fBodyAccJerk-mean-Y" "4" -0.976910421046154
"LAYING" "fBodyAccJerk-mean-Y" "5" -0.960417596816817
"LAYING" "fBodyAccJerk-mean-Y" "6" -0.981059544987406
"LAYING" "fBodyAccJerk-mean-Z" "1" -0.441689870128617
"LAYING" "fBodyAccJerk-mean-Z" "2" -0.606529023433333
"LAYING" "fBodyAccJerk-mean-Z" "3" -0.358574224064748
"LAYING" "fBodyAccJerk-mean-Z" "4" -0.980680909384615
"LAYING" "fBodyAccJerk-mean-Z" "5" -0.97306158957958
"LAYING" "fBodyAccJerk-mean-Z" "6" -0.981315920604534
"LAYING" "fBodyAccJerk-std-X" "1" -0.40043747505627
"LAYING" "fBodyAccJerk-std-X" "2" -0.434854272142667
"LAYING" "fBodyAccJerk-std-X" "3" -0.199805092442086
"LAYING" "fBodyAccJerk-std-X" "4" -0.981033107938462
"LAYING" "fBodyAccJerk-std-X" "5" -0.932291172372372
"LAYING" "fBodyAccJerk-std-X" "6" -0.974895844987406
"LAYING" "fBodyAccJerk-std-Y" "1" -0.149568780344051
"LAYING" "fBodyAccJerk-std-Y" "2" -0.452184460936667
"LAYING" "fBodyAccJerk-std-Y" "3" -0.0984230527291367
"LAYING" "fBodyAccJerk-std-Y" "4" -0.978520050615385
"LAYING" "fBodyAccJerk-std-Y" "5" -0.962830695525526
"LAYING" "fBodyAccJerk-std-Y" "6" -0.98256431350126
"LAYING" "fBodyAccJerk-std-Z" "1" -0.51679040511254
"LAYING" "fBodyAccJerk-std-Z" "2" -0.669778792766667
"LAYING" "fBodyAccJerk-std-Z" "3" -0.471373638057554
"LAYING" "fBodyAccJerk-std-Z" "4" -0.984542775630769
"LAYING" "fBodyAccJerk-std-Z" "5" -0.979787302762763
"LAYING" "fBodyAccJerk-std-Z" "6" -0.984456866876574
"LAYING" "fBodyAccMag-mean" "1" -0.490017843858521
"LAYING" "fBodyAccMag-mean" "2" -0.350275249553333
"LAYING" "fBodyAccMag-mean" "3" -0.104066806298741
"LAYING" "fBodyAccMag-mean" "4" -0.959062289323077
"LAYING" "fBodyAccMag-mean" "5" -0.945427193453453
"LAYING" "fBodyAccMag-mean" "6" -0.968170818010076
"LAYING" "fBodyAccMag-std-X" "1" 0.276405330321543
"LAYING" "fBodyAccMag-std-X" "2" 0.266653719543333
"LAYING" "fBodyAccMag-std-X" "3" 0.291493980413669
"LAYING" "fBodyAccMag-std-X" "4" 0.27422604214
"LAYING" "fBodyAccMag-std-X" "5" 0.279011133573574
"LAYING" "fBodyAccMag-std-X" "6" 0.274313485730479
"LAYING" "fBodyGyro-mean-X" "1" -0.544435818778135
"LAYING" "fBodyGyro-mean-X" "2" -0.518551738692333
"LAYING" "fBodyGyro-mean-X" "3" -0.352669251490899
"LAYING" "fBodyGyro-mean-X" "4" -0.985756665692308
"LAYING" "fBodyGyro-mean-X" "5" -0.933995769099099
"LAYING" "fBodyGyro-mean-X" "6" -0.980103946297229
"LAYING" "fBodyGyro-mean-Y" "1" -0.363051500512251
"LAYING" "fBodyGyro-mean-Y" "2" -0.447319208657
"LAYING" "fBodyGyro-mean-Y" "3" -0.355426088996043
"LAYING" "fBodyGyro-mean-Y" "4" -0.976482829876923
"LAYING" "fBodyGyro-mean-Y" "5" -0.963455961621622
"LAYING" "fBodyGyro-mean-Y" "6" -0.975195052267003
"LAYING" "fBodyGyro-mean-Z" "1" -0.299989919613826
"LAYING" "fBodyGyro-mean-Z" "2" -0.3033401189
"LAYING" "fBodyGyro-mean-Z" "3" -0.191558465936331
"LAYING" "fBodyGyro-mean-Z" "4" -0.965498518553846
"LAYING" "fBodyGyro-mean-Z" "5" -0.954895881141141
"LAYING" "fBodyGyro-mean-Z" "6" -0.973124745415617
"LAYING" "fBodyGyro-std" "1" -0.307388162126688
"LAYING" "fBodyGyro-std" "2" -0.28428995728
"LAYING" "fBodyGyro-std" "3" 0.0819475431891367
"LAYING" "fBodyGyro-std" "4" -0.963986357230769
"LAYING" "fBodyGyro-std" "5" -0.952052477597598
"LAYING" "fBodyGyro-std" "6" -0.971115828664987
"LAYING" "fBodyGyro-std-Y" "1" -0.246054648178135
"LAYING" "fBodyGyro-std-Y" "2" -0.241025198565667
"LAYING" "fBodyGyro-std-Y" "3" -0.365340754151079
"LAYING" "fBodyGyro-std-Y" "4" -0.970514966307692
"LAYING" "fBodyGyro-std-Y" "5" -0.957465733783784
"LAYING" "fBodyGyro-std-Y" "6" -0.970856951209068
"LAYING" "fBodyGyro-std-Z" "1" -0.354212221536978
"LAYING" "fBodyGyro-std-Z" "2" -0.242619414315333
"LAYING" "fBodyGyro-std-Z" "3" -0.38542295052518
"LAYING" "fBodyGyro-std-Z" "4" -0.966206921292308
"LAYING" "fBodyGyro-std-Z" "5" -0.957261048318318
"LAYING" "fBodyGyro-std-Z" "6" -0.975994880629723
"LAYING" "tBodyAcc-mean-X" "1" -0.31519221892283
"LAYING" "tBodyAcc-mean-X" "2" -0.254754160684333
"LAYING" "tBodyAcc-mean-X" "3" 0.0524415144874101
"LAYING" "tBodyAcc-mean-X" "4" -0.987093337261538
"LAYING" "tBodyAcc-mean-X" "5" -0.984432313843844
"LAYING" "tBodyAcc-mean-X" "6" -0.974253238992443
"LAYING" "tBodyAcc-mean-Y" "1" -0.0180698422740672
"LAYING" "tBodyAcc-mean-Y" "2" -0.0257641198970333
"LAYING" "tBodyAcc-mean-Y" "3" -0.015899145141259
"LAYING" "tBodyAcc-mean-Y" "4" -0.0143305190224923
"LAYING" "tBodyAcc-mean-Y" "5" -0.0161644434012553
"LAYING" "tBodyAcc-mean-Y" "6" -0.0171221892332494
"LAYING" "tBodyAcc-mean-Z" "1" -0.106462651725723
"LAYING" "tBodyAcc-mean-Z" "2" -0.119532513986333
"LAYING" "tBodyAcc-mean-Z" "3" -0.104615021429856
"LAYING" "tBodyAcc-mean-Z" "4" -0.105228213084
"LAYING" "tBodyAcc-mean-Z" "5" -0.107304272418318
"LAYING" "tBodyAcc-mean-Z" "6" -0.107242773785894
"LAYING" "tBodyAcc-std-X" "1" 0.950430690675241
"LAYING" "tBodyAcc-std-X" "2" 0.890794599066667
"LAYING" "tBodyAcc-std-X" "3" 0.943043063597122
"LAYING" "tBodyAcc-std-X" "4" 0.893708430307692
"LAYING" "tBodyAcc-std-X" "5" 0.958030698768769
"LAYING" "tBodyAcc-std-X" "6" -0.410490967050378
"LAYING" "tBodyAcc-std-Y" "1" -0.0809345617418328
"LAYING" "tBodyAcc-std-Y" "2" -0.0888971756483333
"LAYING" "tBodyAcc-std-Y" "3" 0.0184369848133094
"LAYING" "tBodyAcc-std-Y" "4" -0.951772967353846
"LAYING" "tBodyAcc-std-Y" "5" -0.91959240981982
"LAYING" "tBodyAcc-std-Y" "6" -0.96995366861461
"LAYING" "tBodyAcc-std-Z" "1" -0.252464566405145
"LAYING" "tBodyAcc-std-Z" "2" -0.1372865977474
"LAYING" "tBodyAcc-std-Z" "3" -0.243192686256115
"LAYING" "tBodyAcc-std-Z" "4" -0.951807046646154
"LAYING" "tBodyAcc-std-Z" "5" -0.934571887027027
"LAYING" "tBodyAcc-std-Z" "6" -0.973435343803526
"LAYING" "tBodyAccJerk-mean-X" "1" -0.326258198915434
"LAYING" "tBodyAccJerk-mean-X" "2" -0.387886904127333
"LAYING" "tBodyAccJerk-mean-X" "3" -0.141867548240396
"LAYING" "tBodyAccJerk-mean-X" "4" -0.986017259107692
"LAYING" "tBodyAccJerk-mean-X" "5" -0.97769821996997
"LAYING" "tBodyAccJerk-mean-X" "6" -0.984501478740554
"LAYING" "tBodyAccJerk-mean-Y" "1" 0.0116696756581994
"LAYING" "tBodyAccJerk-mean-Y" "2" -0.0021942432735
"LAYING" "tBodyAccJerk-mean-Y" "3" 0.00398430873910072
"LAYING" "tBodyAccJerk-mean-Y" "4" 0.00824642909349846
"LAYING" "tBodyAccJerk-mean-Y" "5" 0.0103569478088859
"LAYING" "tBodyAccJerk-mean-Y" "6" 0.0090571114568262
"LAYING" "tBodyAccJerk-mean-Z" "1" -0.00722017189710611
"LAYING" "tBodyAccJerk-mean-Z" "2" -0.00367237863536667
"LAYING" "tBodyAccJerk-mean-Z" "3" -0.00677127221097122
"LAYING" "tBodyAccJerk-mean-Z" "4" -0.0009648186932
"LAYING" "tBodyAccJerk-mean-Z" "5" -0.00174296031499099
"LAYING" "tBodyAccJerk-mean-Z" "6" 0.000628471806994962
"LAYING" "tBodyAccJerk-std-X" "1" -0.0562337884096141
"LAYING" "tBodyAccJerk-std-X" "2" 0.002777066259
"LAYING" "tBodyAccJerk-std-X" "3" -0.101016792699047
"LAYING" "tBodyAccJerk-std-X" "4" -0.0357665533741538
"LAYING" "tBodyAccJerk-std-X" "5" -0.0269780037881682
"LAYING" "tBodyAccJerk-std-X" "6" -0.020981883208262
"LAYING" "tBodyAccJerk-std-Y" "1" -0.149170637182412
"LAYING" "tBodyAccJerk-std-Y" "2" -0.434036723156667
"LAYING" "tBodyAccJerk-std-Y" "3" -0.0792300474546763
"LAYING" "tBodyAccJerk-std-Y" "4" -0.976851031630769
"LAYING" "tBodyAccJerk-std-Y" "5" -0.960147561681682
"LAYING" "tBodyAccJerk-std-Y" "6" -0.981087174685139
"LAYING" "tBodyAccJerk-std-Z" "1" -0.47973082681672
"LAYING" "tBodyAccJerk-std-Z" "2" -0.638667639666667
"LAYING" "tBodyAccJerk-std-Z" "3" -0.415058946838129
"LAYING" "tBodyAccJerk-std-Z" "4" -0.983304511569231
"LAYING" "tBodyAccJerk-std-Z" "5" -0.977044576186186
"LAYING" "tBodyAccJerk-std-Z" "6" -0.983565950176322
"LAYING" "tBodyAccJerkMag-mean" "1" -0.282579136392283
"LAYING" "tBodyAccJerkMag-mean" "2" -0.401137671253333
"LAYING" "tBodyAccJerkMag-mean" "3" -0.0747655225508273
"LAYING" "tBodyAccJerkMag-mean" "4" -0.981720147661538
"LAYING" "tBodyAccJerkMag-mean" "5" -0.96752234021021
"LAYING" "tBodyAccJerkMag-mean" "6" -0.981707521687657
"LAYING" "tBodyAccJerkMag-std" "1" -0.241247232083955
"LAYING" "tBodyAccJerkMag-std" "2" -0.1658995205614
"LAYING" "tBodyAccJerkMag-std" "3" -0.126888816916906
"LAYING" "tBodyAccJerkMag-std" "4" -0.958363899969231
"LAYING" "tBodyAccJerkMag-std" "5" -0.935614975585586
"LAYING" "tBodyAccJerkMag-std" "6" -0.958665817078086
"LAYING" "tBodyAccMag-mean" "1" -0.358347199189711
"LAYING" "tBodyAccMag-mean" "2" -0.250879415027667
"LAYING" "tBodyAccMag-mean" "3" 0.0706067450017986
"LAYING" "tBodyAccMag-mean" "4" -0.956602588769231
"LAYING" "tBodyAccMag-mean" "5" -0.942027848258258
"LAYING" "tBodyAccMag-mean" "6" -0.966128988765743
"LAYING" "tBodyAccMag-std" "1" -0.178405483436257
"LAYING" "tBodyAccMag-std" "2" -0.1265457377486
"LAYING" "tBodyAccMag-std" "3" 0.0474833464978058
"LAYING" "tBodyAccMag-std" "4" -0.9655569304
"LAYING" "tBodyAccMag-std" "5" -0.948792046546547
"LAYING" "tBodyAccMag-std" "6" -0.972358482267002
"LAYING" "tBodyGyro-mean-X" "1" -0.507940244083601
"LAYING" "tBodyGyro-mean-X" "2" -0.495034911196667
"LAYING" "tBodyGyro-mean-X" "3" -0.311382302483813
"LAYING" "tBodyGyro-mean-X" "4" -0.984585728953846
"LAYING" "tBodyGyro-mean-X" "5" -0.932826667957958
"LAYING" "tBodyGyro-mean-X" "6" -0.978757382493703
"LAYING" "tBodyGyro-mean-Y" "1" -0.0557810406968167
"LAYING" "tBodyGyro-mean-Y" "2" -0.0777181652781333
"LAYING" "tBodyGyro-mean-Y" "3" -0.0363823842924065
"LAYING" "tBodyGyro-mean-Y" "4" -0.0724974053246154
"LAYING" "tBodyGyro-mean-Y" "5" -0.0708692302291291
"LAYING" "tBodyGyro-mean-Y" "6" -0.0877718177166247
"LAYING" "tBodyGyro-mean-Z" "1" 0.0986789324948553
"LAYING" "tBodyGyro-mean-Z" "2" 0.0845862900392333
"LAYING" "tBodyGyro-mean-Z" "3" 0.110680247612086
"LAYING" "tBodyGyro-mean-Z" "4" 0.0767377450184615
"LAYING" "tBodyGyro-mean-Z" "5" 0.0799603848438438
"LAYING" "tBodyGyro-mean-Z" "6" 0.108744813866499
"LAYING" "tBodyGyro-std-X" "1" -0.0831009779128199
"LAYING" "tBodyGyro-std-X" "2" -0.116178694127367
"LAYING" "tBodyGyro-std-X" "3" -0.061995557126259
"LAYING" "tBodyGyro-std-X" "4" -0.09534952168
"LAYING" "tBodyGyro-std-X" "5" -0.0998354792135135
"LAYING" "tBodyGyro-std-X" "6" -0.101917211287154
"LAYING" "tBodyGyro-std-Y" "1" -0.283067926437942
"LAYING" "tBodyGyro-std-Y" "2" -0.303007319383967
"LAYING" "tBodyGyro-std-Y" "3" -0.356109070838129
"LAYING" "tBodyGyro-std-Y" "4" -0.972441732430769
"LAYING" "tBodyGyro-std-Y" "5" -0.959268102882883
"LAYING" "tBodyGyro-std-Y" "6" -0.972157670251889
"LAYING" "tBodyGyro-std-Z" "1" -0.290747709133119
"LAYING" "tBodyGyro-std-Z" "2" -0.198397951223667
"LAYING" "tBodyGyro-std-Z" "3" -0.285081140028777
"LAYING" "tBodyGyro-std-Z" "4" -0.963443001261538
"LAYING" "tBodyGyro-std-Z" "5" -0.953413378198198
